,Merval,Spread,Valor transado (promedio),LIX,Valor transado (suma)
0,461.21212,1.984569621,1561247.128,6.566659996,9686802.08
1,464.78424,1.669037649,813377.0786,6.177644097,8010489.18
2,469.48652,1.654114431,1062537.179,6.261228207,11536491.4
3,482.48671,2.541496051,1132173.018,6.548043792,10649700.2
4,485.33257,2.743804557,1293752.869,6.465310167,9934415.38
5,482.47103,1.631322252,2827724.89,6.831833026,12512914.68
6,477.23864,2.022756066,1177084.689,6.455380324,7761226.88
7,473.3981,1.573433707,1136556.707,6.409071434,7650526.01
8,482.3489,1.731790327,656663.6806,6.225402561,7577418.61
9,484.22393,2.166119039,584058.879,6.148841041,5695459.04
10,474.84935,1.67689551,1047277.658,6.278464035,6665953.62
11,468.00352,1.386404312,373368.1145,6.128930652,3622161.28
12,469.32049,1.853905385,739977.688,6.4775854,5855569.17
13,462.09166,1.570391092,1551975.081,6.755848673,6794459.07
14,462.09166,1.570482833,1550468.739,6.755148774,6794459.07
15,462.09166,1.570482833,1550468.739,6.755148774,6794459.07
16,462.09166,1.570749313,1546094.256,6.753116239,6794459.07
17,462.09166,1.571146865,1539570.862,6.750085246,6794459.07
18,451.60479,1.237832854,1019819.07,6.099463223,8668365.37
19,452.22668,1.504465311,740650.7301,6.173844687,6170374.47
20,454.07305,1.715075804,680427.7261,6.386873121,5447202.24
21,464.88371,1.631878659,730330.2985,6.175338141,8257831.2
22,478.08558,1.706487835,1521647.349,6.501773411,10467382.89
23,473.17662,1.872953279,1287018.036,6.594192788,7409514.76
24,476.14945,1.870888684,1080950.99,6.424991713,8545136.91
25,473.21377,1.703262804,883434.2471,6.310846649,6409259.97
26,465.81551,2.005623666,873279.6677,6.289568935,8339208.73
27,473.51367,2.010837533,983587.3218,6.360148368,7804320.44
28,465.41087,2.043285414,1056983.294,6.482296571,7932529.61
29,462.76243,1.590887096,1131323.406,6.490098289,7423063.86
30,465.7444,1.765621843,1377442.869,6.68180866,9777189.6
31,476.9999,2.16156409,2255720.896,6.592121443,9658638.61
32,480.884,2.347928975,2180164.258,6.64186809,11504138.58
33,482.88281,2.194442988,3544366.973,7.021259405,15347569.81
34,495.13374,1.971609329,2057011.219,6.623977548,15107530.37
35,500.31104,1.845991311,2122426.047,6.676493846,15033342.57
36,506.57699,1.699558259,2465380.168,6.700756741,16283153.46
37,511.08902,2.275788489,2045067.296,6.58897418,14820424.72
38,511.08902,2.275788489,2045067.296,6.58897418,14820424.72
39,512.29747,2.347832517,2130793.63,6.519993072,13767642.52
40,516.40281,2.157218852,1873354.95,6.610698767,12820541.74
41,525.48925,2.996638124,852492.0368,6.523327831,9941505.86
42,542.02584,2.799709714,903369.2917,6.254563209,12048057.67
43,536.44318,1.657667578,1207375.705,6.364353498,11633875.48
44,511.97157,1.660924962,1701869.6,6.314960412,12643874.54
45,489.86095,1.868338425,1171765.015,6.114196504,11438236.76
46,472.85564,1.446526839,944899.0017,5.999009845,8758425.25
47,462.95978,1.189903303,1163236.25,6.09708489,12282547.74
48,492.01803,1.631990895,1139417.314,5.94099673,11030162.9
49,490.35106,1.45372504,852788.7764,6.10945194,9153616.07
50,489.19771,1.294798072,838975.7015,6.107614899,5404998.56
51,484.20631,1.222853268,1032687.649,6.323456985,5651949.76
52,480.27053,1.55563633,635973.5599,6.210772791,5429858.37
53,469.53324,1.321410401,818589.3062,5.986336281,6672344.7
54,469.46778,1.825719173,946731.5505,6.210846739,8035294.72
55,461.68407,1.08168373,505553.0758,5.754129858,5058987.18
56,463.8967,2.158279099,231977.6799,6.091594654,2593275.29
57,450.02752,1.204156233,840458.5867,5.85798558,7041783.07
58,459.0891,1.003988166,682032.6033,5.972310837,6634056.91
59,462.59351,1.105933683,1003752.647,6.373179242,6135752.7
60,459.68593,1.312323028,505403.7658,5.929581731,6462826.72
61,458.17498,1.316938223,474659.2768,6.262545744,3985962.97
62,454.19691,1.486311465,725853.9422,6.137444623,5365907.32
63,453.34694,1.512421404,829745.6806,6.243102798,8410310.29
64,456.66629,1.527271321,877320.0132,6.545885601,5627832.99
65,458.60111,1.921367779,1008331.276,6.345366536,5425261.68
66,453.35532,1.323256686,541234.014,6.117190989,5089953.46
67,443.69197,1.508959136,547807.4065,6.131469384,5967758.39
68,429.57932,1.790614549,848925.3072,6.071569367,7605030.47
69,427.95893,1.166813832,1377403.278,6.210763665,9472897.7
70,423.48527,1.051832345,730053.7991,6.049719416,6086463.16
71,408.2259,1.123620229,976750.543,6.022502537,8513738.12
72,400.45509,1.073861775,962574.5914,6.357973298,10173003.14
73,403.25386,0.814798268,811684.2646,6.226443147,7411669.47
74,403.25386,0.819665624,816532.2396,6.228200364,7411669.47
75,403.25386,0.825604429,822369.9755,6.230316333,7411669.47
76,398.80049,0.970430359,1644745.906,6.410844297,8158521.33
77,396.54228,1.162406398,1118311.968,6.372415733,5460284.87
78,390.00968,0.803226669,772159.0756,6.06507967,5671438.97
79,387.78346,1.077789888,626947.598,6.016071273,5387733.04
80,392.10136,0.919607219,789470.4875,6.026203993,5563622.13
81,401.78061,1.384166017,1407227.66,6.570204683,10085120.01
82,393.43396,1.182571129,1950172.53,6.2504529,8487534.62
83,398.75741,1.561130113,2009279.587,6.676174893,8534931.13
84,408.73311,1.746876443,600975.9755,6.341818064,3510151.56
85,404.28561,1.814781868,1447126.697,6.509912339,6077676.82
86,411.27281,1.347674284,1453772.279,6.608326011,6230713.44
87,411.27281,1.347674284,1453772.279,6.608326011,6230713.44
88,411.06473,1.401127785,955689.7695,6.639336712,5228324.85
89,422.14512,1.570441057,905974.7225,6.239906117,6119430.52
90,421.20581,1.568105275,941526.3387,6.423880677,6297781.65
91,436.86807,1.5190035,1104047.065,6.426094393,8560906.55
92,443.42793,1.985239065,987574.8038,6.383304914,10705912.47
93,452.58725,2.206550962,1878809.819,6.485528123,15174121.29
94,437.99332,1.50470342,1302606.802,6.130273799,9754327.44
95,442.31544,1.681745959,842022.2863,6.337346281,7345985.87
96,446.83095,2.073821672,946531.1018,6.394586607,6341003.09
97,448.76879,1.976317441,919227.3148,6.539774484,7436441.66
98,451.01955,1.489352639,965450.5867,6.41850751,7260641.38
99,443.19133,1.418657838,791110.6035,6.169885137,6086120.34
100,441.69647,0.966263068,495462.1268,5.867515563,3972955.97
101,436.99421,1.680014613,849657.1515,6.468573026,4672469.73
102,429.30448,2.330198617,835993.3706,6.27791363,5660255.19
103,433.38906,2.137629073,1040540.007,6.302952231,7665405.79
104,441.78332,1.784622189,907516.8674,6.445401291,6881064.4
105,445.75168,1.4239251,771332.3556,6.313975021,6907016.35
106,445.17351,1.682904798,1004971.991,6.228859705,7967697.18
107,447.60052,2.13759811,725554.7436,6.351208763,5819803.19
108,457.7008,1.691252639,1220236.901,6.340923231,10469534.4
109,458.74197,2.340404663,2634887.858,6.518830241,15487511.2
110,462.17045,2.010788592,1137974.298,6.431793322,9087054.24
111,471.29733,1.939843826,930291.3896,6.277050385,10286485.22
112,485.95857,1.899956446,1116517.282,6.572067581,16619762.94
113,505.07482,1.202144515,1738446.783,6.587310904,19379151.35
114,498.91873,2.16324425,1537105.773,6.500465471,17024107.64
115,491.14669,1.513044529,1273202.587,6.540230988,10517957.38
116,491.14669,1.51527536,1280065.929,6.539433895,10517957.38
117,498.2953,1.993751262,1136816.655,6.5074941,9417417.58
118,499.52695,1.950403524,1190924.891,6.620348503,10786529.86
119,508.96602,1.704718024,1666455.858,6.613764469,11725587.96
120,500.46247,2.228657238,1723405.131,6.67441843,14534432.28
121,500.54341,1.056153623,1047931.506,6.522684671,12443990.58
122,492.3235,2.00704203,1551707.597,6.865865192,13169916.48
123,502.83301,1.685471141,1273673.813,6.279051126,12240596.47
124,503.52916,1.213269934,1073945.517,6.377752799,7081191.17
125,505.59856,1.793970084,969894.3657,6.510846276,6110453.11
126,510.01569,1.768206222,449432.609,6.165592553,4339791.5
127,520.87507,1.320421579,1548256.061,6.540151897,12183082.33
128,525.71203,2.862545377,1011162.985,6.581907193,8871792.48
129,535.04616,2.357349793,1384482.945,6.649408257,12420509.28
130,536.98858,1.915766186,1069994.318,6.503406395,11519547.83
131,560.77458,3.307387578,1645034.049,6.48485762,14876623.46
132,579.46244,2.444944473,2441489.105,6.910629831,27945166.31
133,580.0416,2.119970866,2089313.453,6.495366819,16528447.48
134,561.90659,1.555288173,1131620.388,6.43517033,14499123.74
135,573.71151,1.571992439,2660896.563,6.545927559,16832254.45
136,594.03503,2.260839312,1287983.685,6.528424451,13998082.51
137,591.45664,2.153337523,1205059.252,6.563400128,15037159.75
138,601.21705,1.592156709,2896288.495,6.436610934,20059836.35
139,604.29068,2.281730538,1746286.658,6.42088025,14991610.46
140,606.0034,1.267826815,1365582.116,6.297236873,17343805.05
141,627.83159,1.612241359,1020208.459,6.448765432,18966863.4
142,617.39289,1.74522311,1501927.334,6.349284053,23756514.26
143,615.65651,2.230011615,1215540.736,6.524690894,14702139.88
144,622.31273,1.635627265,1284652.779,6.375357886,16550927.68
145,609.08102,1.283781157,814768.1988,6.054116828,9919057.36
146,614.65723,1.611632995,2169901.081,6.735045402,20836729.46
147,631.43946,1.282598284,919612.8873,6.293500826,14842522.5
148,623.46949,1.226237623,965754.1738,6.484566358,11437085.48
149,622.1861,0.911757589,999253.1151,6.305819133,12504844.3
150,622.79071,1.830631919,964479.3414,6.290764848,10554414.64
151,632.29022,1.53125013,675711.4657,6.448432601,11399343.0
152,634.69777,1.063070501,1142652.962,6.531142971,12501391.07
153,642.29897,1.879008694,992745.4587,6.358835918,14062346.95
154,672.75005,2.165961384,1495173.693,6.476836648,23518550.93
155,685.90383,2.155833328,1089441.579,6.467071685,16882331.56
156,685.90383,2.156042026,1088259.564,6.466808337,16882331.56
157,689.52831,2.530045817,1028140.619,6.655814441,19173576.96
158,681.35207,2.181428505,1520355.678,6.666829876,22879196.5
159,699.68379,2.156542727,1315336.834,6.485767977,17487313.59
160,713.33208,2.453951748,1434798.599,6.612401011,22149355.15
161,740.12086,1.550840919,2359047.413,6.542767866,24116691.02
162,729.99675,2.215706355,2258222.158,6.622534271,22074721.83
163,692.82315,1.476268474,1412560.614,6.416616567,21441080.42
164,735.18528,1.764837759,1264321.201,6.491577059,17719392.52
165,715.97422,1.393305537,1057327.325,6.508048879,15459053.96
166,702.62113,2.203683958,2148435.611,6.619484878,18323744.6
167,663.80773,1.697825192,1522341.756,6.351373429,24654230.33
168,665.36442,1.317286256,1013847.747,6.185155855,14462385.72
