merval,spread,valor transado,LIX
471.711,1.142254742,662456.2256,6.215163096
468.97825,1.57287708,740135.4844,6.283777591
474.48756,1.567723454,236023.0103,6.10602558
468.4259,1.165944132,853151.0969,6.249169997
463.86918,1.165582144,929384.3927,6.454909404
459.52282,1.164140842,1072305.738,6.49687245
469.71375,1.169344238,911661.6781,6.128520365
470.21233,1.170611224,559825.9699,6.233155742
477.88579,1.169595667,410679.9624,5.915547453
478.16308,1.17333998,1055614.98,6.514878282
475.04698,1.172191217,740712.7498,6.097853483
464.77327,1.169322139,578220.9773,6.323918207
471.55846,1.167090799,845095.0441,6.106264918
465.33889,1.16605589,653627.2401,6.314079295
470.00252,1.167664411,601920.2768,6.245119221
459.32487,1.172130071,1271268.775,6.329081574
460.59144,1.169715862,463269.1737,6.070310257
460.09654,1.165032828,1150123.241,6.469798959
456.64663,1.16376084,604751.6261,6.059252095
462.42863,1.164991132,541023.5944,6.341913711
462.42863,1.164682832,541278.9513,6.34203436
444.71684,1.166868151,433293.4933,5.85190244
436.66241,1.166895218,577659.8916,6.404417
436.66241,1.167390013,577183.8625,6.404020895
436.66241,1.167390013,577183.8625,6.404020895
429.42804,1.170735552,276148.2253,5.649839473
426.67047,1.171511796,823047.8175,6.139289213
426.21837,1.173195243,678226.0468,6.102558142
435.14609,1.172147925,954616.3414,6.33221282
425.46026,1.171004287,391339.1851,6.112735618
415.25786,1.174516998,366038.2745,5.576808336
393.39262,1.180780626,768366.9294,6.120513126
383.09853,1.186533555,1154098.099,6.076320861
385.84372,1.186614504,798033.1691,6.023136845
384.33308,1.18794084,940539.4013,6.377916799
379.68232,1.185811973,570225.2557,6.420126515
378.70135,1.187981496,617941.2205,6.347074555
368.86784,1.190030361,395848.9329,5.809582608
363.21704,1.193088272,560782.376,5.957116464
363.28343,1.194128208,449835.8222,6.073232059
363.28343,1.194711948,447776.1895,6.072018596
363.28343,1.194711948,447776.1895,6.072018596
356.62332,1.197051624,512891.8209,6.094232217
348.52695,1.198104305,415220.4234,6.015084105
356.36733,1.193381672,764381.8472,6.2672008
364.36309,1.18939628,522043.5717,6.002516633
391.84437,1.1808594,672842.4456,6.266459198
383.97819,1.18084501,605074.5696,6.20852673
377.91193,1.179569307,717038.3308,6.189339348
375.96936,1.181122138,295133.7298,5.947880219
361.96749,1.180201704,310096.4576,5.892966697
357.2287,1.182207946,427915.1028,5.929452086
345.58172,1.184404413,603474.3155,6.204182645
338.63192,1.184964681,567772.9387,5.914545799
341.14888,1.181752805,336402.9034,6.068405928
347.51625,1.184937216,663382.1163,6.058558978
354.73088,1.179972181,602153.0645,5.916561408
365.30722,1.170729144,704111.9687,6.142453395
376.84114,1.158834594,1394135.409,6.367388657
376.84114,1.160104375,1393116.93,6.367209209
378.70786,1.160754946,147236.2062,5.536148613
368.26334,1.166195653,877414.92,6.053913588
362.08045,1.163231271,436414.0509,5.751555354
362.24951,1.162902988,755063.3461,5.918633991
356.13231,1.160653104,524474.1474,6.066898099
354.26731,1.163163848,507422.9573,6.031634417
353.07158,1.161824356,454854.7685,5.737480078
353.7466,1.162763825,400525.7316,5.937061795
351.07636,1.163154526,863317.8314,6.078854687
347.94041,1.163078091,494231.3596,6.263386681
341.74653,1.162558897,654231.8301,6.113336028
340.06149,1.163379764,918140.4096,6.271949788
335.92462,1.165376221,316567.5194,6.014718088
340.7165,1.164796093,814790.0162,6.149665759
353.95879,1.164571156,1001903.193,6.206935448
352.70373,1.163201279,991709.149,6.384048686
360.32617,1.167812422,1948154.625,6.390626012
360.32617,1.169010507,1944177.977,6.389387996
355.05598,1.165686292,1144708.026,6.497375248
363.55223,1.162112176,752234.3252,6.268299385
356.25443,1.156389871,1654500.809,6.508494936
355.04703,1.158939623,863149.9072,6.481207719
354.81834,1.156233651,787762.3337,6.143162311
352.45099,1.158998487,735330.8677,6.181045881
361.2715,1.162402601,1617870.994,6.663484395
363.36647,1.165514803,461262.9363,6.113396523
370.12114,1.167695628,1030511.096,6.398518038
373.21969,1.164136233,228702.9941,5.964232929
364.44837,1.167817548,1376634.299,6.373500432
365.44463,1.164278559,717960.4148,6.17277062
