,capital
0,1.0
1,1.01
2,1.03
3,1.04
4,1.05
5,1.05
6,1.07
7,1.1
8,1.08
9,1.08
10,1.09
11,1.08
12,1.1
13,1.11
14,1.17
15,1.15
16,1.13
17,1.13
18,1.13
19,0.99
20,1.03
21,1.07
22,1.01
23,1.01
24,1.12
25,1.11
26,1.13
27,1.1
28,1.11
29,1.11
30,1.14
31,1.16
32,1.15
33,1.15
34,1.15
35,1.18
36,1.18
37,1.25
38,1.27
39,1.27
40,1.23
41,1.22
42,1.18
43,1.24
44,1.19
45,1.17
46,1.14
47,1.16
48,1.11
49,1.09
50,1.17
51,1.27
52,1.16
53,1.17
54,1.16
55,1.11
56,1.12
57,1.15
58,1.14
59,1.13
60,1.16
61,1.17
62,1.14
63,1.18
64,1.18
65,1.2
66,1.2
67,1.19
68,1.23
69,1.24
70,1.26
71,1.29
72,1.3
73,1.3
74,1.32
75,1.34
76,1.39
77,1.35
78,1.39
79,1.44
80,1.44
81,1.46
82,1.49
83,1.51
84,1.5
85,1.57
86,1.57
87,1.58
88,1.58
89,1.66
90,1.66
91,1.69
92,1.69
93,1.74
94,1.75
95,1.75
96,1.6
97,1.48
98,1.57
99,1.49
100,1.48
101,1.47
102,1.37
103,1.36
104,1.36
105,1.33
106,1.31
107,1.36
108,1.46
109,1.56
110,1.53
111,1.49
112,1.45
113,1.49
114,1.47
115,1.49
116,1.46
117,1.51
118,1.59
119,1.65
120,1.6
121,1.58
122,1.58
123,1.54
124,1.51
125,1.49
126,1.47
127,1.45
128,1.42
129,1.42
130,1.44
131,1.41
132,1.42
133,1.45
134,1.45
135,1.45
136,1.48
137,1.49
138,1.45
139,1.38
140,1.38
141,1.42
142,1.41
143,1.42
144,1.42
145,1.31
146,1.22
147,1.28
148,1.23
149,1.12
150,1.13
151,1.17
152,1.16
153,1.18
154,1.2
155,1.24
156,1.24
157,1.24
158,1.24
159,1.25
160,1.26
161,1.26
162,1.26
163,1.3
164,1.23
165,1.22
166,1.24
167,1.25
168,1.26
169,1.24
170,1.24
171,1.27
172,1.27
173,1.29
174,1.29
175,1.29
176,1.29
177,1.3
178,1.31
179,1.32
180,1.34
181,1.33
182,1.3
183,1.3
184,1.31
185,1.34
186,1.34
187,1.37
188,1.37
189,1.38
190,1.38
191,1.4
192,1.43
193,1.46
194,1.46
195,1.46
196,1.46
197,1.46
198,1.48
199,1.51
200,1.53
201,1.52
202,1.48
203,1.52
204,1.52
205,1.53
206,1.54
207,1.6
208,1.6
209,1.64
210,1.61
211,1.67
212,1.67
213,1.71
214,1.8
215,1.85
216,1.88
217,1.87
218,1.9
219,1.9
220,1.9
221,1.84
222,1.72
223,1.75
224,1.79
225,1.76
226,1.78
227,1.78
228,1.78
229,1.81
230,1.79
231,1.78
232,1.77
233,1.8
234,1.77
235,1.78
236,1.77
237,1.76
238,1.73
239,1.68
240,1.64
241,1.69
242,1.74
243,1.74
244,1.73
245,1.74
246,1.74
247,1.71
248,1.71
249,1.74
250,1.72
251,1.7
252,1.69
253,1.7
254,1.69
255,1.71
256,1.69
257,1.7
258,1.7
259,1.69
260,1.65
261,1.65
262,1.62
263,1.59
264,1.59
265,1.52
266,1.53
267,1.53
268,1.53
269,1.52
270,1.62
271,1.57
272,1.61
273,1.59
274,1.58
275,1.59
276,1.58
277,1.58
278,1.57
279,1.54
280,1.52
281,1.46
282,1.45
283,1.47
284,1.54
285,1.53
286,1.52
287,1.53
288,1.54
289,1.5
290,1.55
291,1.56
292,1.59
293,1.6
294,1.62
295,1.62
296,1.58
297,1.58
298,1.59
299,1.63
300,1.68
301,1.7
302,1.73
303,1.74
304,1.68
305,1.69
306,1.64
307,1.64
308,1.53
309,1.5
310,1.53
311,1.56
312,1.57
313,1.55
314,1.54
315,1.51
316,1.54
317,1.59
318,1.6
319,1.69
320,1.65
321,1.64
322,1.67
323,1.63
324,1.63
325,1.6
326,1.57
327,1.54
328,1.49
329,1.39
330,1.38
331,1.46
332,1.52
333,1.53
334,1.53
335,1.5
336,1.51
337,1.54
338,1.54
339,1.55
340,1.58
341,1.59
342,1.59
343,1.58
344,1.54
345,1.53
346,1.51
347,1.53
348,1.51
349,1.46
350,1.38
351,1.36
352,1.33
353,1.41
354,1.37
355,1.4
356,1.41
357,1.36
358,1.4
359,1.43
360,1.43
361,1.47
362,1.52
363,1.5
364,1.5
365,1.47
366,1.48
367,1.5
368,1.52
369,1.52
370,1.52
371,1.5
372,1.53
373,1.58
374,1.73
375,1.74
376,1.88
377,1.86
378,1.9
379,1.89
380,1.87
381,1.9
382,1.91
383,1.91
384,1.92
385,1.95
386,1.99
387,2.02
388,2.03
389,2.09
390,2.08
391,2.06
392,2.05
393,2.12
394,1.97
395,1.92
396,1.86
397,1.93
398,1.93
399,1.92
400,1.89
401,1.87
402,1.84
403,1.91
404,1.91
405,1.91
406,1.96
407,1.93
408,1.88
409,1.81
410,1.8
411,1.77
412,1.31
413,1.25
414,1.27
415,1.26
416,1.2
417,1.2
418,1.2
419,1.22
420,1.22
421,1.21
422,1.21
423,1.21
424,1.25
425,1.29
426,1.31
427,1.32
428,1.32
429,1.34
430,1.35
431,1.38
432,1.32
433,1.41
434,1.44
435,1.44
436,1.5
437,1.43
438,1.35
439,1.35
440,1.34
441,1.31
442,1.29
443,1.25
444,1.25
445,1.28
446,1.29
447,1.26
448,1.28
449,1.28
450,1.28
451,1.26
452,1.33
453,1.33
454,1.31
455,1.3
456,1.26
457,1.27
458,1.28
459,1.24
460,1.24
461,1.22
462,1.19
463,1.2
464,1.23
465,1.23
466,1.23
467,1.21
468,1.24
469,1.27
470,1.26
471,1.27
472,1.28
473,1.27
474,1.3
475,1.3
476,1.27
477,1.28
478,1.27
479,1.24
480,1.24
481,1.28
482,1.28
483,1.28
484,1.26
485,1.29
486,1.29
487,1.26
488,1.25
489,1.28
490,1.31
491,1.34
492,1.38
493,1.34
494,1.36
495,1.32
496,1.24
497,1.24
498,1.23
499,1.21
500,1.16
501,1.17
502,1.17
503,1.19
504,1.23
505,1.21
506,1.2
507,1.2
508,1.21
509,1.22
510,1.25
511,1.25
512,1.23
513,1.22
514,1.22
515,1.22
516,1.21
517,1.22
518,1.23
519,1.23
520,1.25
521,1.26
522,1.27
523,1.26
524,1.27
525,1.28
526,1.28
527,1.23
528,1.22
529,1.21
530,1.22
531,1.22
532,1.22
533,1.21
534,1.2
535,1.17
536,1.15
537,1.16
538,1.16
539,1.17
540,1.17
541,1.17
542,1.18
543,1.18
544,1.18
545,1.15
546,1.16
547,1.14
548,1.21
549,1.23
550,1.19
551,1.16
552,1.16
553,1.14
554,1.12
555,1.14
556,1.13
557,1.12
558,1.12
559,1.12
560,1.11
561,1.1
562,1.09
563,1.1
564,1.1
565,1.11
566,1.09
567,1.1
568,1.09
569,1.09
570,1.1
571,1.1
572,1.11
573,1.11
574,1.12
575,1.13
576,1.11
577,1.11
578,1.12
579,1.12
580,1.12
581,1.12
582,1.12
583,1.13
584,1.13
585,1.15
